Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
Harina Trigo Premium 0,1000000000000,Bebidas,2029-12-30,NutriPlus,98.75,87
Aceite Vegetal Premium 1,1000000000001,Granos,2029-12-20,Bimbo,92.41,199
Yogurt Fresa Clasico 2,1000000000002,Bebidas,2028-01-30,FreshCo,52.99,174
Manzana Roja Light 3,1000000000003,Frutas,2029-01-22,FreshCo,15.64,123
Cafe Molido Light 4,1000000000004,Despensa,2028-05-08,Sabroso,50.62,72
Cereal Avena Light 5,1000000000005,Bebidas,2027-08-22,Bimbo,17.91,176
Queso Crema Premium 6,1000000000006,Panaderia,2029-02-16,Sabroso,71.1,110
Sal Marina Natural 7,1000000000007,Lacteos,2029-09-09,DelCampo,67.72,86
Sopa Instantanea Premium 8,1000000000008,Despensa,2027-10-14,Cremoso,45.23,70
Atun Enlatado Natural 9,1000000000009,Bebidas,2026-12-03,LaVaquita,16.92,75
Chocolate Negro Extra 10,1000000000010,Bebidas,2027-09-07,Sabroso,11.33,134
Cereal Avena Light 11,1000000000011,Bebidas,2028-09-30,LaMilpa,9.11,93
Frijol Negro Natural 12,1000000000012,Granos,2029-07-27,NutriPlus,78.16,168
Jugo Natural Clasico 13,1000000000013,Despensa,2028-08-23,LaVaquita,16.59,129
Frijol Negro Natural 14,1000000000014,Despensa,2028-07-17,Bimbo,42.27,170
Galletas Chocolate Extra 15,1000000000015,Despensa,2027-09-28,Bimbo,96.58,120
Cafe Molido Clasico 16,1000000000016,Despensa,2027-07-20,CampoReal,22.74,52
Arroz Blanco Natural 17,1000000000017,Lacteos,2029-02-03,FreshCo,51.94,51
Harina Trigo Clasico 18,1000000000018,Panaderia,2029-05-23,NutriPlus,28.99,28
Mermelada Fresa Extra 19,1000000000019,Panaderia,2028-05-17,LaMilpa,10.59,49
Mermelada Fresa Light 20,1000000000020,Despensa,2029-02-27,LaVaquita,87.55,162
Yogurt Fresa Clasico 21,1000000000021,Despensa,2029-01-17,DelValle,76.04,141
Cafe Molido Clasico 22,1000000000022,Panaderia,2027-03-14,NutriPlus,28.81,62
Leche Entera Extra 23,1000000000023,Panaderia,2029-07-30,CampoReal,89.69,75
Sal Marina Light 24,1000000000024,Bebidas,2026-07-14,NutriPlus,18.07,102
Harina Trigo Premium 25,1000000000025,Bebidas,2026-03-22,DelCampo,15.22,69
Sopa Instantanea Premium 26,1000000000026,Bebidas,2027-02-07,FreshCo,93.78,165
Sopa Instantanea Clasico 27,1000000000027,Bebidas,2026-11-30,DelValle,86.75,182
Chocolate Negro Light 28,1000000000028,Bebidas,2029-07-18,LaMilpa,7.2,28
Pasta Espagueti Clasico 29,1000000000029,Frutas,2028-08-22,FreshCo,65.3,173
Leche Entera Natural 30,1000000000030,Lacteos,2027-12-06,NutriPlus,74.68,58
Pan Integral Light 31,1000000000031,Lacteos,2029-02-02,DelValle,78.87,42
Atun Enlatado Clasico 32,1000000000032,Panaderia,2029-05-01,DelCampo,12.46,176
Cafe Molido Extra 33,1000000000033,Bebidas,2029-11-27,LaMilpa,21.12,20
